county,town,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
FRANKLIN,FRANKLIN,1405,1572,11.9,1719,22.3
FRANKLIN,GEORGIA,4515,4855,7.5,5167,14.4
FRANKLIN,HIGHGATE,3535,3781,7.0,4011,13.5
FRANKLIN,MONTGOMERY,1201,1410,17.4,1597,33.0
FRANKLIN,RICHFORD,2308,2381,3.2,2467,6.9
FRANKLIN,SHELDON,2190,2415,10.3,2617,19.5
FRANKLIN,SAINT ALBANS TOWN,5999,6720,12.0,7362,22.7
FRANKLIN,SAINT ALBANS CITY,6918,6787,-1.9,6797,-1.7
FRANKLIN,SWANTON,6427,6820,6.1,7201,12.0
GRAND ISLE,ALBURGH,1998,2007,0.5,1937,-3.1
GRAND ISLE,GRAND ISLE,2067,1994,-3.5,1879,-9.1
GRAND ISLE,ISLE LA MOTTE,471,435,-7.6,398,-15.5
GRAND ISLE,NORTH HERO,803,827,3.0,811,1.0
GRAND ISLE,SOUTH HERO,1631,1510,-7.4,1380,-15.4
LAMOILLE,BELVIDERE,348,389,11.8,416,19.5
LAMOILLE,CAMBRIDGE,3659,3945,7.8,4119,12.6
LAMOILLE,EDEN,1323,1482,12.0,1585,19.8
LAMOILLE,ELMORE,855,923,8.0,958,12.0
LAMOILLE,HYDE PARK,2954,3043,3.0,3072,4.0
LAMOILLE,JOHNSON,3446,3429,-0.5,3392,-1.6
LAMOILLE,MORRISTOWN,5227,5173,-1.0,5092,-2.6
LAMOILLE,STOWE,4314,4406,2.1,4415,2.3
LAMOILLE,WATERVILLE,673,686,1.9,685,1.8
LAMOILLE,WOLCOTT,1676,1805,7.7,1884,12.4
ORANGE,BRADFORD,2797,2822,0.9,2792,-0.2
ORANGE,BRAINTREE,1246,1236,-0.8,1209,-3.0
ORANGE,BROOKFIELD,1292,1323,2.4,1320,2.2
ORANGE,CHELSEA,1238,1215,-1.9,1178,-4.8
ORANGE,CORINTH,1367,1337,-2.2,1289,-5.7
ORANGE,FAIRLEE,977,972,-0.5,950,-2.8
ORANGE,NEWBURY,2216,2274,2.6,2280,2.9
ORANGE,ORANGE,1072,1108,3.4,1115,4.0
ORANGE,RANDOLPH,4778,4606,-3.6,4413,-7.6
ORANGE,STRAFFORD,1098,1131,3.0,1132,3.1
ORANGE,THETFORD,2588,2534,-2.1,2452,-5.3
ORANGE,TOPSHAM,1173,1209,3.1,1209,3.1
ORANGE,TUNBRIDGE,1284,1271,-1.0,1238,-3.6
ORANGE,VERSHIRE,730,784,7.4,810,11.0
ORANGE,WASHINGTON,1039,1030,-0.9,1004,-3.4
ORANGE,WEST FAIRLEE,652,622,-4.6,589,-9.7
ORANGE,WILLIAMSTOWN,3389,3472,2.4,3463,2.2
ORLEANS,ALBANY,941,976,3.7,981,4.3
ORLEANS,BARTON,2810,2674,-4.8,2536,-9.8
ORLEANS,BROWNINGTON,988,1066,7.9,1097,11.0
ORLEANS,CHARLESTON,1023,1069,4.5,1080,5.6
ORLEANS,COVENTRY,1086,1149,5.8,1165,7.3
ORLEANS,CRAFTSBURY,1206,1237,2.6,1230,2.0
ORLEANS,DERBY,4621,4483,-3.0,4298,-7.0
ORLEANS,GLOVER,1122,1214,8.2,1255,11.9
ORLEANS,GREENSBORO,762,742,-2.6,713,-6.4
ORLEANS,HOLLAND,629,685,8.9,708,12.6
ORLEANS,IRASBURG,1163,1215,4.5,1224,5.2
ORLEANS,JAY,521,571,9.6,598,14.8
ORLEANS,LOWELL,879,977,11.1,1029,17.1
ORLEANS,MORGAN,749,825,10.1,861,15.0
ORLEANS,NEWPORT CITY,4589,4371,-4.8,4128,-10.0
ORLEANS,NEWPORT TOWN,1594,1615,1.3,1595,0.1
ORLEANS,TROY,1662,1637,-1.5,1589,-4.4
ORLEANS,WESTFIELD,536,557,3.9,559,4.3
ORLEANS,WESTMORE,350,361,3.1,362,3.4
RUTLAND,BENSON,1056,1073,1.6,1038,-1.7
RUTLAND,BRANDON,3966,3737,-5.8,3448,-13.1
RUTLAND,CASTLETON,4717,4704,-0.3,4512,-4.3
RUTLAND,CHITTENDEN,1258,1261,0.2,1212,-3.7
RUTLAND,CLARENDON,2571,2340,-9.0,2104,-18.2
RUTLAND,DANBY,1311,1286,-1.9,1216,-7.2
RUTLAND,FAIR HAVEN,2734,2529,-7.5,2298,-15.9
RUTLAND,HUBBARDTON,706,704,-0.3,671,-5.0
RUTLAND,IRA,432,409,-5.3,377,-12.7
RUTLAND,MENDON,1059,1020,-3.7,955,-9.8
RUTLAND,MIDDLETOWN SPRINGS,745,712,-4.4,659,-11.5
RUTLAND,MOUNT HOLLY,1237,1218,-1.5,1154,-6.7
RUTLAND,MOUNT TABOR,255,272,6.7,274,7.5
RUTLAND,PAWLET,1477,1473,-0.3,1411,-4.5
RUTLAND,PITTSFIELD,546,607,11.2,630,15.4
RUTLAND,PITTSFORD,2991,2838,-5.1,2623,-12.3
RUTLAND,POULTNEY,3432,3213,-6.4,2943,-14.2
RUTLAND,PROCTOR,1741,1578,-9.4,1415,-18.7
RUTLAND,RUTLAND CITY,16495,15157,-8.1,13734,-16.7
RUTLAND,RUTLAND TOWN,4054,3940,-2.8,3705,-8.6
RUTLAND,KILLINGTON,811,767,-5.4,699,-13.8
RUTLAND,SHREWSBURY,1056,983,-6.9,898,-15.0
RUTLAND,SUDBURY,560,541,-3.4,505,-9.8
RUTLAND,TINMOUTH,613,645,5.2,640,4.4
